Name,SMILES,BSEP ACTIVITY,,,,,,,
50243561,CC[C@H]1C(=O)N(C)[C@H](C)C(=O)N(CC)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H]([C@@H]([C@@H](C\C=C\C)C)O)C(=O)N1,1,,,,,,BSEP ACTIVITY,
317676,CCC1C(=O)N(C)C(C)C(=O)N(CC)C(C(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N(C)C(C(C(C\C=C\C)C)O)C(=O)N1,1,,,,,,1,Inhibitor
51350482,CCc1cnc(CCOc2ccc(CC3C(=O)NC(=O)S3)cc2)cc1,1,,,,,,0,Non-inhibitor
51098617,COc1cc(c2cnc(C3Oc(c4CC3)cc([C@H](C5CC5)[C@@H](C(=O)O)C)cc4)cc2)c(F)cc1,1,,,,,,,
50739681,CC[C@H]1C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H]([C@@H]([C@@H](C\C=C\C)C)O)C(=O)N1,1,,,,,,,
317675,CCC1C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N(C)C(C(C(C\C=C\C)C)O)C(=O)N1,1,,,,,,,
51098655,COc1cc(c2ccc(C3Oc(c4CC3)cc([C@H](C5CC5)[C@@H](C(=O)O)C)cc4)cc2)c(F)cc1,1,,,,,,,
50774880,CC(C[C@@H](C(N[C@H](C(N1[C@H](C(N[C@@H](C(=O)N)C)=O)CCC1)=O)CCCNC(=N)N)=O)NC([C@H](NC([C@@H](NC([C@@H](NC([C@H](NC([C@H](NC([C@H](NC(=O)C)Cc2cc(c3cc2)cccc3)=O)Cc4ccc(Cl)cc4)=O)Cc5cnccc5)=O)CO)=O)Cc6ccc(O)cc6)=O)CCCNC(=O)N)=O)C,1,,,,,Table S1. BSEP data of 925 compounds with SMILES and activity annotation,,
50739699,COc1c(C(NCCc2ccc(S(NC(NC3CCCCC3)=O)(=O)=O)cc2)=O)cc(Cl)cc1,1,,,,,,,
50774875,CC([C@H]1C(=O)O[C@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)O[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)O[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)O[C@@H](C)C(=O)N1)C,1,,,,,,,
